N,P,K,temperature,humidity,ph,NPK_Ratio,rainfall,Wind_Speed (m/s),Solar_Radiation (kWh/m²),Crop Variety Category,Y_Max,Soil_Quality,Crop_Yield
93,56,42,23.85724032,82.22572988,7.382762603,0.9489795918367347,195.0948311,3.064879039769767,17.84652634309013,rice,10.0,2,21.719115585799663
65,60,43,21.97199397,81.89918197,5.658169482000001,0.6310679611650486,227.3637009,3.208787713990317,17.97538617200481,rice,10.0,1,21.643327163124134
95,52,36,26.22916897,83.83625819,5.543360237999999,1.0795454545454546,286.5083725,3.0847572643336107,18.017318495370322,rice,10.0,1,21.741130052333478
75,38,39,23.44676801,84.79352417,6.215109715,0.974025974025974,283.9338466,3.2463597970374196,18.007346555032345,rice,10.0,2,22.86066859654371
74,54,38,25.65553461,83.47021081,7.120272972,0.8043478260869565,217.3788583,3.298685347784653,17.83029679079846,rice,10.0,2,22.444137783349852
91,36,45,24.44345477,82.45432595,5.950647577000001,1.123456790123457,267.97619480000003,3.1679204294068173,17.883297305535603,rice,10.0,1,22.483562374461066
71,46,40,20.2801937,82.1235421,7.236705436,0.8255813953488372,191.9535738,2.9495752231122094,17.94734488626108,rice,10.0,2,21.714102231417137
99,55,35,21.7238313,80.2389895,6.501697816,1.1,277.9626192,3.229891423454572,18.01177305583296,rice,10.0,2,22.877642679668003
72,40,38,20.41447029,82.20802629,7.592490617,0.9230769230769231,245.1511304,3.2536704639482736,17.866301119336196,rice,10.0,1,20.934367373398697
83,58,45,25.75528612,83.51827127,5.875345751,0.8058252427184466,245.6626799,3.2504260842710924,17.895652645454344,rice,10.0,1,22.463187244111317
93,58,38,20.61521424,83.77345559,6.932400225,0.96875,279.5451717,3.333574827957138,17.803585045720123,rice,10.0,2,22.41250242344101
70,36,42,21.84106875,80.72886384,6.9462098810000015,0.8974358974358975,202.3838319,3.1028912408100178,17.794597880712658,rice,10.0,2,22.432319335286827
76,47,42,20.08369642,83.29114712,5.739175027000001,0.8539325842696629,263.6372176,3.278018219319968,17.995471125360144,rice,10.0,1,21.662336736604225
99,41,36,24.45802087,82.74835604,6.738652179,1.2857142857142858,182.5616319,3.32924736002272,18.049842545977807,rice,10.0,3,22.980755491608825
99,54,37,21.14347496,80.33502926,5.5948196260000005,1.0879120879120878,198.6730942,3.032137850374271,17.90701753096269,rice,10.0,1,21.40965839400173
86,59,35,25.78720567,82.11124033,6.946636369,0.9148936170212766,243.5120414,3.2419617913668204,18.014571832909926,rice,10.0,2,22.79074994122999
69,46,41,23.64124821,80.28597873,5.012139669,0.7931034482758621,263.1103304,3.159578625674156,17.95038214562549,rice,10.0,0,20.560738829023975
91,56,37,23.43191632,80.56887849,6.363472207999999,0.978494623655914,269.5039162,3.201844341464758,17.849706567660213,rice,10.0,2,22.98507110480665
61,52,41,24.97669518,83.891805,6.880431223,0.6559139784946236,204.8001847,3.2447642571287565,17.950358103671565,rice,10.0,1,22.8494405268712
67,45,38,22.72791041,82.17068809999998,7.300410836,0.8072289156626506,260.8875056,3.1612737523635674,18.068022199767324,rice,10.0,2,21.782377989386752
79,42,37,24.87300744,82.84022551,6.587918707999999,1.0,295.6094492000001,3.1424258008587618,17.91063593920973,rice,10.0,2,23.126193648090375
78,43,42,21.32376327,83.00320459,7.283736617000001,0.9176470588235294,192.3197536,3.213411850523725,18.070682908702125,rice,10.0,2,21.71473756159059
75,54,36,26.29465461,84.56919326,7.023936392,0.8333333333333334,257.4914906,3.1012720148886426,17.65224403271175,rice,10.0,2,22.699791738828182
97,36,45,22.2286982,81.85872947,6.939083505,1.1975308641975309,278.0791793,3.1014140958864043,17.99640879355825,rice,10.0,2,22.50831386111761
67,47,44,26.73072391,81.78596776,7.868474653,0.7362637362637363,280.4044392,3.277933937070573,17.922923249944542,rice,10.0,1,20.979618672080896
73,35,38,24.88921174,81.97927117,5.005306977,1.0,185.9461429,3.095117205259057,17.884317808074137,rice,10.0,0,20.642825355220275
77,36,37,26.88444878,81.46033732,6.136131869,1.0547945205479452,194.5766559,3.2766278588658437,17.923394620774275,rice,10.0,2,22.970297652866
81,41,38,22.67846116,83.72874389,7.5240800760000015,1.0253164556962024,200.9133156,3.256255738060318,17.715461651660636,rice,10.0,1,21.296783281117243
68,57,43,26.08867875,80.37979919,5.706943251,0.68,182.9043504,3.0374159358958632,17.892251354336974,rice,10.0,1,22.06632835050125
72,45,35,25.42977518,82.94682591,5.758506323,0.9,195.3574542,3.142240143541357,17.9499298002719,rice,10.0,1,22.13410983415567
61,53,43,26.40323239,81.05635517,6.349606327,0.6354166666666666,223.3671883,3.32940754907966,18.06200794759488,rice,10.0,1,23.20115364701566
67,43,39,26.04371967,84.96907151,5.9999690260000005,0.8170731707317073,186.7536773,3.1118800556609547,17.86239152129336,rice,10.0,1,22.717462431047576
67,58,39,25.2827223,80.54372813,5.453592032,0.6907216494845361,220.1156708,3.163556182543984,17.833369182831408,rice,10.0,0,21.442408729331127
66,60,38,22.08576562,83.47038318,6.372576327000001,0.673469387755102,231.7364957,3.2562026981001124,17.86404283876227,rice,10.0,1,22.89864199969407
82,43,38,23.28617173,81.43321641,5.105588355,1.0123456790123457,242.3170629,3.2883356597031823,18.005758754890934,rice,10.0,0,20.664158344916498
84,50,44,25.48591986,81.40633547,5.9353444060000005,0.8936170212765957,182.6549356,3.184842720170473,17.947093654086693,rice,10.0,1,22.537319941870898
81,53,42,23.67575393,81.03569343,5.17782304,0.8526315789473684,233.7034975,3.150245589305759,17.86124252274402,rice,10.0,0,20.81992165732505
91,50,40,20.82477109,84.1341879,6.462391607000001,1.011111111111111,230.22422230000004,3.3522335949447735,17.96554528643206,rice,10.0,2,22.833671204728276
93,53,38,26.92995077,81.91411159,7.069172227,1.021978021978022,290.67937830000005,3.3838865751546807,17.92392629805553,rice,10.0,2,22.63891689893704
90,44,38,23.83509503,83.88387074,7.473134377,1.0975609756097562,241.20135130000003,3.307882413853102,18.011083042174015,rice,10.0,2,21.512845046086902
81,45,35,26.52872817,80.12267476,6.158376967000001,1.0125,218.9163567,3.218528423031425,17.84401323373299,rice,10.0,2,22.978910398250505
78,40,38,26.46428311,83.85642678,7.549873681,1.0,248.2256491,3.12917003661083,17.88145232846095,rice,10.0,1,21.538991082156294
60,51,36,22.69657794,82.81088865,6.028321557999999,0.6896551724137931,256.9964761,3.1269521681192662,17.87500772780751,rice,10.0,1,22.48705499657745
88,46,42,22.68319059,83.46358271,6.604993475,1.0,194.2651719,3.2622480193014987,17.767867048307515,rice,10.0,2,22.96397125883809
93,47,37,21.53346343,82.14004101,6.500343222000001,1.1071428571428572,295.9248796,3.2518364308637913,17.94383057082718,rice,10.0,2,22.873713954349792
60,55,45,21.40865769,83.32931909999998,5.935745417000001,0.6,287.5766935000001,3.350156468069566,17.940324070338715,rice,10.0,1,22.219096293138772
78,35,44,26.54348085,84.67353597,7.072655622,0.9873417721518988,183.6222657,3.2750416180285367,17.914729888784972,rice,10.0,2,22.604591612892975
65,37,40,23.35905428,83.59512273,5.333322606,0.8441558441558441,188.413665,3.0596885785989407,17.89075982978321,rice,10.0,0,21.05260603587014
71,54,16,22.61359953,63.69070564,5.7499144210000015,1.0142857142857142,87.75953857,3.3151913705472147,17.772681468915685,maize,15.0,1,21.602303115649356
61,44,17,26.10018422,71.57476937,6.931756557999999,1.0,102.2662445,3.1101905460434813,17.872154010844188,maize,15.0,2,22.611084051594407
80,43,16,23.55882094,71.59351368,6.657964753,1.3559322033898304,66.71995467,3.1715994815796877,17.879947091468047,maize,15.0,3,22.75275799683419
73,58,21,19.97215954,57.68272924,6.596060648,0.9240506329113924,60.65171481,3.2350166294000924,17.833990816198565,maize,15.0,2,22.385110029719574
61,38,20,18.47891261,62.69503871,5.970458434,1.0517241379310345,65.43835393,3.4095633577533193,17.898089971954125,maize,15.0,1,21.68092122109019
68,41,16,21.77689322,57.80840636,6.158830619,1.1929824561403508,102.0861694,3.520988464375459,17.954623628802178,maize,15.0,2,22.26195700684442
93,41,17,25.6217169,66.50415474,6.047906679,1.603448275862069,105.4654703,3.270668914688541,18.102837133241778,maize,15.0,2,22.500856017555925
89,60,19,25.19192419,66.69029010000001,5.913664501,1.1265822784810127,78.06639649,3.191676946902884,17.93167632440391,maize,15.0,1,22.237352139410707
76,44,17,20.41683147,62.55424820000001,5.855442401,1.2459016393442623,65.27798457,3.263447173622978,17.939973582193,maize,15.0,1,21.623716837693692
67,60,25,24.92162194,66.78627406,5.750254943,0.788235294117647,109.2162279,3.298762151362306,17.906773951544107,maize,15.0,1,21.888804195555487
70,44,19,23.31689124,73.4541537,5.852607099,1.1111111111111112,94.29712821,3.1779298462192034,17.722341421590823,maize,15.0,1,22.003258750550593
90,49,21,24.84016732,68.3584573,6.4725232870000005,1.2857142857142858,74.05474936,3.389517744366155,17.911567155575803,maize,15.0,2,22.933640127813888
62,52,16,22.27526694,58.84015925,6.9670577620000005,0.9117647058823529,63.87020584,3.233003684694063,17.92024156411483,maize,15.0,2,22.105325451229653
92,44,16,18.87751445,65.76816093,6.082973754,1.5333333333333334,94.76189431,3.259770917684062,18.160542754369253,maize,15.0,2,21.963423995154074
66,54,21,25.19008683,60.200168700000006,5.919045532,0.88,72.12375573,3.2765890339803687,17.89498244664261,maize,15.0,1,22.17830829712821
63,58,22,18.25405352,55.28220433,6.204747652999999,0.7875,63.72358154,3.2521552698363685,17.944373277354085,maize,15.0,1,22.015435468725983
70,47,17,24.612911800000006,70.4162444,6.600827017,1.09375,104.1626147,3.293890658821884,17.9107473661502,maize,15.0,2,22.88009658909833
61,41,17,25.1420613,65.26185135,6.021902237000001,1.0517241379310345,76.68456006,3.1482712901202303,17.797350739358773,maize,15.0,2,22.380829304568614
66,53,19,23.09348056,60.11593810000001,6.033550195,0.9166666666666666,65.49730729,3.1541664333803197,18.028500824572227,maize,15.0,2,22.21946709499239
74,55,19,18.05033737,62.89366992,6.28886807,1.0,84.23613484,3.0999811854777533,17.9894118463894,maize,15.0,2,22.157387596343234
77,57,21,24.9321581,73.80435276,6.550563822999999,0.9871794871794872,79.74078719,3.2539467318369453,17.99332173782503,maize,15.0,2,22.995689113077724
99,50,15,18.14710054,71.09445342,5.573286437,1.523076923076923,88.07753741,3.2878902591261343,17.823279797641252,maize,15.0,1,20.854153983675758
74,56,22,18.28362235,66.65952796,6.829199275,0.9487179487179487,80.97573281,3.2557738953901114,18.054497974214335,maize,15.0,2,22.098090690967823
83,45,21,18.83344471,58.75082029,5.716222912,1.2575757575757576,79.75328959999999,3.3774458521096764,17.774033436841496,maize,15.0,1,21.160655340765313
100,48,16,25.71895816,67.22190688,5.54990242,1.5625,74.51490791,3.209437006892018,17.97290425250075,maize,15.0,1,21.435025026949557
79,51,16,25.33797709,68.49835977,6.586244581,1.1791044776119404,96.46380213,3.276870774334174,18.133264105701723,maize,15.0,2,22.92140342338975
94,39,18,23.89114571,57.48775781,5.893093135,1.6491228070175439,102.8301942,3.1008265211609913,17.815164910607656,maize,15.0,1,21.97390658899331
75,49,15,21.53574127,71.50905983,5.918263801,1.171875,102.4852929,3.1712866385274827,17.857588770160447,maize,15.0,1,21.945945749397715
78,48,22,23.08974909,63.10459626,5.588650585,1.1142857142857143,70.43473609,3.2795503845315004,17.92418367962949,maize,15.0,1,21.308783693665166
87,54,20,25.61707368,63.4711755,6.576418207000001,1.1756756756756757,108.8303762,3.294906819849237,17.863870977709105,maize,15.0,2,22.93833318520479
87,35,25,21.44526922,63.1621551,6.178056304,1.45,65.88951188,3.1805999140085044,17.75915220001411,maize,15.0,2,22.36152340754968
63,43,19,18.51816776,55.53128131,6.641906353,1.0161290322580645,90.988051,3.202836683589116,17.921074840601328,maize,15.0,2,22.168363617071364
84,57,25,22.53510514,67.99257471,6.489040367,1.024390243902439,64.40866039,3.0582092341068416,17.807988171748114,maize,15.0,2,22.76741094858654
64,35,23,23.02038334,61.89472002,5.680361037999999,1.103448275862069,63.03843397,3.1742936886942617,17.961577786184243,maize,15.0,1,21.469684969737166
60,46,22,24.89364635,65.61418761,6.625404347999999,0.8823529411764706,87.9298085,3.2990349251269016,17.822276119697346,maize,15.0,2,22.865563072023804
98,44,21,25.77175115,74.089114,6.524478032,1.5076923076923077,107.4931917,3.2675171103855796,18.06921198362248,maize,15.0,3,23.066299789086628
75,56,18,19.39851734,62.35750641,5.696205468,1.0135135135135136,60.95197486,3.260063180913044,17.8358932138871,maize,15.0,1,21.186822170627778
86,55,21,21.54156232,59.64024162,6.803931519,1.131578947368421,109.7515385,3.2149739774930186,17.882012391500158,maize,15.0,2,22.37964008577244
98,35,18,23.79746068,74.82913698,6.252797547999999,1.849056603773585,91.76337172,3.2107029246377405,17.995570264857694,maize,15.0,2,22.740806568865302
76,57,18,18.9802729,74.52600826,6.092725883,1.0133333333333334,94.26249353,3.143964494827578,17.791132111477328,maize,15.0,2,22.10452213390175
99,56,17,24.10859207,73.13112261,6.234330356,1.356164383561644,71.07562236,3.279879450795176,17.936964536581137,maize,15.0,2,22.743643494242363
60,44,23,24.7947077,70.04556743,5.722579819,0.8955223880597015,76.72860067,3.252093903213862,18.04493281854897,maize,15.0,1,21.809119030283092
74,48,17,21.63162756,60.27766379,6.430616465,1.1384615384615384,69.21803098,3.259198493574203,17.753470219664603,maize,15.0,2,22.53771015568352
89,60,17,25.37548751,57.21025565,5.983952675,1.155844155844156,101.7004306,3.1573931245081646,17.932681928973956,maize,15.0,1,22.28874538575878
69,51,23,22.21738222,72.85462807,6.80163854,0.9324324324324325,106.6213157,2.994662316787798,17.94020682254557,maize,15.0,2,22.572263061183214
96,46,22,20.58314011,69.00128641,6.499936446,1.411764705882353,66.29390357,3.3197118799502925,17.992400830298457,maize,15.0,2,22.582735251578647
61,60,15,24.87502824,68.74248334,6.265564338,0.8133333333333334,91.26056654,3.1621128631740825,17.790523472032916,maize,15.0,2,22.765134965138948
74,58,18,20.03728219,56.35606753,6.727303282,0.9736842105263158,109.024141,3.1237190323706105,17.782172881812297,maize,15.0,2,22.27442364014061
74,43,23,25.95263264,61.89082199,6.325235159,1.121212121212121,99.57981207,3.279344499966322,17.966412699682415,maize,15.0,2,22.887209925767245
63,43,17,19.28889933,65.47050802,6.807487794,1.05,71.3195307,3.1707953447830097,17.943917010444043,maize,15.0,2,22.15576944530762
99,36,20,20.57981887,65.34583901,6.671085817000001,1.7678571428571428,78.34604471,3.315990247179585,17.939267828155312,maize,15.0,3,22.453984389544534
77,36,23,24.71417533,56.73426469,6.648725327,1.305084745762712,88.45361858,3.2716972037325927,17.948863364070423,maize,15.0,3,22.747122782595067
87,60,23,20.27317074,63.91281869,6.439071996,1.0481927710843373,62.50351892,3.2783535410949707,17.846216070962875,maize,15.0,2,22.509268708582155
60,38,17,18.41932981,64.23580251,6.474476516,1.0909090909090908,76.41312437,3.0734010376548695,17.937443912836827,maize,15.0,2,22.258727979884334
94,54,17,23.39128187,61.74427165,5.871647806,1.323943661971831,107.3198135,3.3311910073135627,17.943525790450593,maize,15.0,1,21.942262504679263
95,38,22,19.84939404,61.24500053,5.730617109,1.5833333333333333,100.7689246,3.2361216618983084,17.842783401318087,maize,15.0,1,21.32197129669335
84,44,21,21.869274,61.91044947,5.850439831,1.2923076923076924,107.2681929,3.1730688948503025,18.100795994235202,maize,15.0,1,21.7833494941223
77,58,19,22.8056033,56.50768935,5.791649933,1.0,101.5952794,3.2243354555091477,17.961601835211905,maize,15.0,1,21.677158592796495
66,44,20,19.0781471,69.02298571,6.740000687999999,1.03125,80.72515943,3.0323730854850908,17.79508819340046,maize,15.0,2,22.28270143809611
63,35,16,22.02720976,65.35549924,6.272417541,1.2352941176470589,83.73280082,3.25086188992299,17.979873903984107,maize,15.0,2,22.481651904091343
79,45,20,23.80546189,59.24537979,5.715208817000001,1.2153846153846153,89.96220140000001,3.1070594579567157,17.816750376097993,maize,15.0,1,21.60518887854311
72,60,25,18.52510753,69.0276233,5.773454729,0.8470588235294118,88.10234397,3.0747295801905694,17.99292700349497,maize,15.0,1,21.39574916615361
67,51,24,23.50297882,61.32026065,5.584171461,0.8933333333333333,64.77791424,3.057760690153134,18.030078101021466,maize,15.0,1,21.320257426781012
86,36,24,26.54986394,72.89187265,5.787268394,1.4333333333333333,73.33636055,3.321265446273915,17.832150311285556,maize,15.0,1,22.119655052837995
76,48,18,19.29563411,69.63481219,5.77597783,1.1515151515151516,83.21030571,3.147070269405644,18.01055615604516,maize,15.0,1,21.431195147845457
75,53,18,20.68899915,59.4375337,6.864793607,1.056338028169014,103.651438,3.3633693797665725,17.955496635814374,maize,15.0,2,22.183638428229568
81,45,23,19.32666088,68.03449300000001,6.192360002999999,1.1911764705882353,84.22969177,3.156416462469693,17.996424559120175,maize,15.0,2,22.244122223374752
73,45,21,24.60532218,73.58868502,6.636803222999999,1.106060606060606,96.59195302,3.0392608130156282,18.10389784138612,maize,15.0,2,22.919289024117685
71,35,24,22.27373646,59.52193158,5.826426917,1.2033898305084745,67.96704792,3.0983441647800567,17.889679731520438,maize,15.0,1,21.72438882381396
96,54,22,25.70196694,61.33450447,6.960358276,1.263157894736842,83.20711308,3.3335777707756167,17.838844926684978,maize,15.0,3,22.489385957944023
99,39,18,19.20129357,68.30578978,6.11275104,1.736842105263158,87.85092352,3.194406790981256,17.82526710015817,maize,15.0,2,22.081475304583115
62,48,20,21.70181447,60.47470519,6.708446922,0.9117647058823529,95.71388473,3.155167879125863,17.83263751462418,maize,15.0,2,22.481095244321235
86,37,16,20.51716779,59.21235483,5.561510732,1.6226415094339623,67.61013737,3.2259984313602015,17.906508372179314,maize,15.0,1,20.922212097602927
94,50,19,23.30355338,73.62548442,5.873242491,1.3623188405797102,97.59081274,3.260174882391677,17.94833374060239,maize,15.0,1,22.06795188690887
76,39,24,24.2547451,55.64709899,6.995843776,1.2063492063492063,64.23845455,3.321736490365169,17.941887623053727,maize,15.0,3,22.229361804908997
77,52,17,24.86374934,65.7420046,5.714799723,1.1159420289855073,75.82270467,3.3548465317642155,17.996936868024328,maize,15.0,1,21.73254787234789
74,39,23,22.6265115,65.77472881,6.78073637,1.1935483870967742,88.17251033,3.174019744196014,17.915518732308517,maize,15.0,2,22.54490480788337
81,49,20,18.04185513,60.61494304,5.513697923,1.173913043478261,104.2321615,3.077391840166719,18.059571950836457,maize,15.0,1,20.64789971756008
63,42,21,23.26237612,72.33125523,5.798423907999999,1.0,67.10225139,3.1686500926625953,17.88775285979693,maize,15.0,1,21.864916389109908
99,38,21,22.88330922,71.59722446,6.352471866,1.6779661016949152,67.72777298,3.2360246594332116,18.186235459779688,maize,15.0,2,22.743208399843443
90,52,25,25.97482359,69.36385721,6.822586546,1.1688311688311688,103.2234212,3.1136207161538616,17.976785277897225,maize,15.0,2,22.828975557316944
68,40,19,26.14384005,66.20569924,6.655426355,1.152542372881356,107.2361366,3.1142815172854186,17.828502787479096,maize,15.0,2,22.92703013345402
60,57,24,18.66116213,61.55327249,6.1212940410000005,0.7407407407407407,75.03247667,3.2443753969299114,17.807129293314613,maize,15.0,1,22.011576968980883
71,52,18,25.10787449,55.97732754,5.790770202999999,1.0142857142857142,78.16077693,3.2051313736178777,17.962465784645044,maize,15.0,1,21.831931624254377
61,59,17,23.33844615,59.24580604,6.47444292,0.8026315789473685,105.0083144,3.2132763083160816,17.89187226458814,maize,15.0,2,22.695027204789262
88,38,15,25.08239719,65.92195844,6.455116637000001,1.6603773584905661,62.49190812,3.1341470753049157,17.985618592529935,maize,15.0,2,22.851092274413233
65,60,22,25.36768364,72.52054555,6.6069840860000015,0.7926829268292683,107.9124111,3.1869565373543463,17.961542305578078,maize,15.0,1,23.003227055783704
78,37,22,25.34217103,63.31801994,6.330554389,1.3220338983050848,74.52082026,3.1175732943480923,17.906935651855036,maize,15.0,2,22.83908559314192
78,58,15,25.00933355,67.816568,6.5286312660000005,1.0684931506849316,62.91359494,3.2990164498874015,17.829539171313886,maize,15.0,2,22.889255828760227
92,60,23,18.66746724,71.516474,5.721667141,1.108433734939759,69.93293255,3.313521542247298,17.762733820652137,maize,15.0,1,21.311209087841583
